127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.150613
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.077146
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.010708
127.0.0.1, 2018-04-25 17:17:27, POST, /admin/default/index, HTTP/1.1, 200, 1.113707
127.0.0.1, 2018-04-25 17:17:35, POST, /admin/default/index, HTTP/1.1, 200, 2.085965
127.0.0.1, 2018-04-25 17:17:53, POST, /admin/default/index, HTTP/1.1, 200, 4.087040
127.0.0.1, 2018-04-25 17:18:26, GET, /start/, HTTP/1.1, 500, 0.598695
127.0.0.1, 2018-04-25 17:18:29, GET, /start/, HTTP/1.1, 500, 0.080481
127.0.0.1, 2018-04-25 17:18:32, GET, /start/, HTTP/1.1, 500, 0.076721
127.0.0.1, 2018-04-25 17:26:28, GET, /start/, HTTP/1.1, 500, 0.367714
127.0.0.1, 2018-04-25 17:26:30, GET, /start/, HTTP/1.1, 500, 0.071099
127.0.0.1, 2018-04-25 17:26:31, GET, /start/, HTTP/1.1, 500, 0.065722
127.0.0.1, 2018-04-25 17:26:31, GET, /start/, HTTP/1.1, 500, 0.066319
127.0.0.1, 2018-04-25 17:26:31, GET, /start/, HTTP/1.1, 500, 0.091056
127.0.0.1, 2018-04-25 17:26:56, GET, /start/, HTTP/1.1, 200, 0.173559
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.014154
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.007278
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.010869
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.017708
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.010245
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.014374
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.001596
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.002952
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.003481
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.025161
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.029174
127.0.0.1, 2018-04-25 17:26:56, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001961
127.0.0.1, 2018-04-25 17:40:20, GET, /start/, HTTP/1.1, 200, 0.099023
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003293
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001181
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.007244
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001443
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001401
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.037049
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.049642
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.052518
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001338
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000995
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.022436
127.0.0.1, 2018-04-25 17:40:20, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001324
127.0.0.1, 2018-04-25 17:40:22, GET, /start/, HTTP/1.1, 200, 0.056204
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002337
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001579
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001395
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002949
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.011673
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.021610
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.025771
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.014790
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.013865
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.017373
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.019716
127.0.0.1, 2018-04-25 17:40:22, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002554
127.0.0.1, 2018-04-25 17:40:24, GET, /start/, HTTP/1.1, 200, 0.047032
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002724
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002272
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002273
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002246
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003350
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.015987
127.0.0.1, 2018-04-25 17:40:24, GET, /start/, HTTP/1.1, 200, 0.030950
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.007911
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.025665
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.004120
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.015462
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.032851
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.008391
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.007059
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.011136
127.0.0.1, 2018-04-25 17:40:24, GET, /start/, HTTP/1.1, 200, 0.042256
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003831
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001826
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.017274
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.006074
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.010498
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.022324
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.019518
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.027042
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.016440
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.014491
127.0.0.1, 2018-04-25 17:40:24, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.044354
127.0.0.1, 2018-04-25 17:40:25, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001476
127.0.0.1, 2018-04-25 17:42:55, GET, /start/, HTTP/1.1, 200, 0.048742
127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001919
127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000953
127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.027227
127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001288
127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001002
127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002952
127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.029203
127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.012170
